Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
|    total_timesteps      | 36864        |
| train/                  |              |
|    approx_kl            | 0.0018430067 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.618        |
|    learning_rate        | 0.0003       |
|    loss                 | 308          |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.00283     |
|    value_loss           | 624          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.3         |
|    ep_rew_mean          | -30.3        |
| time/                   |              |
|    fps                  | 519          |
|    iterations           | 4            |
|    time_elapsed         | 15           |
|    total_timesteps      | 38912        |
| train/                  |              |
|    approx_kl            | 0.0009450836 |
|    clip_fraction        | 0.000488     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.671        |
|    learning_rate        | 0.0003       |
|    loss                 | 213          |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00178     |
|    value_loss           | 514          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.5         |
|    ep_rew_mean          | -16.7        |
| time/                   |              |
|    fps                  | 517          |
|    iterations           | 5            |
|    time_elapsed         | 19           |
|    total_timesteps      | 40960        |
| train/                  |              |
|    approx_kl            | 0.0029905462 |
|    clip_fraction        | 0.00425      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.79        |
|    explained_variance   | 0.649        |
|    learning_rate        | 0.0003       |
|    loss                 | 286          |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.0038      |
|    value_loss           | 564          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.8         |
|    ep_rew_mean          | 4.91         |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 6            |
|    time_elapsed         | 23           |
|    total_timesteps      | 43008        |
| train/                  |              |
|    approx_kl            | 0.0012917524 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.79        |
|    explained_variance   | 0.664        |
|    learning_rate        | 0.0003       |
|    loss                 | 218          |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.00348     |
|    value_loss           | 498          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 44.6         |
|    ep_rew_mean          | 8.41         |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 7            |
|    time_elapsed         | 27           |
|    total_timesteps      | 45056        |
| train/                  |              |
|    approx_kl            | 0.0051202113 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.612        |
|    learning_rate        | 0.0003       |
|    loss                 | 334          |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00576     |
|    value_loss           | 614          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 44.5         |
|    ep_rew_mean          | -1.14        |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 8            |
|    time_elapsed         | 32           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0027203013 |
|    clip_fraction        | 0.00132      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.614        |
|    learning_rate        | 0.0003       |
|    loss                 | 162          |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00374     |
|    value_loss           | 468          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.6        |
|    ep_rew_mean          | -6.2        |
| time/                   |             |
|    fps                  | 508         |
|    iterations           | 9           |
|    time_elapsed         | 36          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.005178668 |
|    clip_fraction        | 0.0064      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.646       |
|    learning_rate        | 0.0003      |
|    loss                 | 328         |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00421    |
|    value_loss           | 550         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.1         |
|    ep_rew_mean          | 2.13         |
| time/                   |              |
|    fps                  | 503          |
|    iterations           | 10           |
|    time_elapsed         | 40           |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0052046413 |
|    clip_fraction        | 0.00825      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.79        |
|    explained_variance   | 0.614        |
|    learning_rate        | 0.0003       |
|    loss                 | 253          |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00534     |
|    value_loss           | 568          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.6         |
|    ep_rew_mean          | 9.43         |
| time/                   |              |
|    fps                  | 506          |
|    iterations           | 11           |
|    time_elapsed         | 44           |
|    total_timesteps      | 53248        |
| train/                  |              |
|    approx_kl            | 0.0010939327 |
|    clip_fraction        | 0.000342     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.77        |
|    explained_variance   | 0.612        |
|    learning_rate        | 0.0003       |
|    loss                 | 228          |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00269     |
|    value_loss           | 529          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39           |
|    ep_rew_mean          | -3.31        |
| time/                   |              |
|    fps                  | 502          |
|    iterations           | 12           |
|    time_elapsed         | 48           |
|    total_timesteps      | 55296        |
| train/                  |              |
|    approx_kl            | 0.0015726954 |
|    clip_fraction        | 0.000586     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.669        |
|    learning_rate        | 0.0003       |
|    loss                 | 238          |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.0035      |
|    value_loss           | 524          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39.2         |
|    ep_rew_mean          | -7.88        |
| time/                   |              |
|    fps                  | 500          |
|    iterations           | 13           |
|    time_elapsed         | 53           |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0019180729 |
|    clip_fraction        | 0.000244     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.75        |
|    explained_variance   | 0.656        |
|    learning_rate        | 0.0003       |
|    loss                 | 214          |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.0026      |
|    value_loss           | 559          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38           |
|    ep_rew_mean          | -8.92        |
| time/                   |              |
|    fps                  | 500          |
|    iterations           | 14           |
|    time_elapsed         | 57           |
|    total_timesteps      | 59392        |
| train/                  |              |
|    approx_kl            | 0.0014269424 |
|    clip_fraction        | 0.00371      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.541        |
|    learning_rate        | 0.0003       |
|    loss                 | 305          |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00249     |
|    value_loss           | 716          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.2         |
|    ep_rew_mean          | -5.11        |
| time/                   |              |
|    fps                  | 503          |
|    iterations           | 15           |
|    time_elapsed         | 61           |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0018763654 |
|    clip_fraction        | 0.00527      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.662        |
|    learning_rate        | 0.0003       |
|    loss                 | 332          |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00261     |
|    value_loss           | 554          |
------------------------------------------
👁️  Visualizing test match
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is jumping, penalty applied (-0.3).
Player is above the ball, penalty applied (-1).
Player is above the ball, penalty applied (-1).
Ball touching ground on ai's side, penalty applied (-70).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 1

🎯 Start training block 2
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 44.8     |
|    ep_rew_mean     | -3.74    |
| time/              |          |
|    fps             | 600      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 63488    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.3         |
|    ep_rew_mean          | 0.459        |
| time/                   |              |
|    fps                  | 569          |
|    iterations           | 2            |
|    time_elapsed         | 7            |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0004767653 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.648        |
|    learning_rate        | 0.0003       |
|    loss                 | 406          |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.00202     |
|    value_loss           | 575          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 41.7        |
|    ep_rew_mean          | 1.88        |
| time/                   |             |
|    fps                  | 527         |
|    iterations           | 3           |
|    time_elapsed         | 11          |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.004870523 |
|    clip_fraction        | 0.0257      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 0.624       |
|    learning_rate        | 0.0003      |
|    loss                 | 267         |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00452    |
|    value_loss           | 579         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.1         |
|    ep_rew_mean          | -15.2        |
| time/                   |              |
|    fps                  | 508          |
|    iterations           | 4            |
|    time_elapsed         | 16           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0051334724 |
|    clip_fraction        | 0.00884      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.635        |
|    learning_rate        | 0.0003       |
|    loss                 | 222          |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.00445     |
|    value_loss           | 487          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.1        |
|    ep_rew_mean          | -7.84       |
| time/                   |             |
|    fps                  | 503         |
|    iterations           | 5           |
|    time_elapsed         | 20          |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.002503728 |
|    clip_fraction        | 0.00278     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.698       |
|    learning_rate        | 0.0003      |
|    loss                 | 240         |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00353    |
|    value_loss           | 492         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.7         |
|    ep_rew_mean          | 9.93         |
| time/                   |              |
|    fps                  | 503          |
|    iterations           | 6            |
|    time_elapsed         | 24           |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0011723514 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.676        |
|    learning_rate        | 0.0003       |
|    loss                 | 293          |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00193     |
|    value_loss           | 595          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 38            |
|    ep_rew_mean          | 5.22          |
| time/                   |               |
|    fps                  | 498           |
|    iterations           | 7             |
|    time_elapsed         | 28            |
|    total_timesteps      | 75776         |
| train/                  |               |
|    approx_kl            | 0.00079404697 |
|    clip_fraction        | 0.00239       |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.73         |
|    explained_variance   | 0.648         |
|    learning_rate        | 0.0003        |
|    loss                 | 244           |
|    n_updates            | 360           |
|    policy_gradient_loss | -0.00251      |
|    value_loss           | 538           |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 38          |
|    ep_rew_mean          | -1.11       |
| time/                   |             |
|    fps                  | 497         |
|    iterations           | 8           |
|    time_elapsed         | 32          |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.001178255 |
|    clip_fraction        | 0.00181     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.0003      |
|    loss                 | 206         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00257    |
|    value_loss           | 561         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.9         |
|    ep_rew_mean          | 4.92         |
| time/                   |              |
|    fps                  | 497          |
|    iterations           | 9            |
|    time_elapsed         | 37           |
|    total_timesteps      | 79872        |
| train/                  |              |
|    approx_kl            | 0.0016991717 |
|    clip_fraction        | 0.00161      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.639        |
|    learning_rate        | 0.0003       |
|    loss                 | 322          |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00312     |
|    value_loss           | 514          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43.2         |
|    ep_rew_mean          | -1.28        |
| time/                   |              |
|    fps                  | 496          |
|    iterations           | 10           |
|    time_elapsed         | 41           |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0038986919 |
|    clip_fraction        | 0.002        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.71        |
|    explained_variance   | 0.683        |
|    learning_rate        | 0.0003       |
|    loss                 | 223          |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00425     |
|    value_loss           | 517          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 43.1       |
|    ep_rew_mean          | -9.52      |
| time/                   |            |
|    fps                  | 496        |
|    iterations           | 11         |
|    time_elapsed         | 45         |
|    total_timesteps      | 83968      |
| train/                  |            |
|    approx_kl            | 0.00175789 |
|    clip_fraction        | 0.00303    |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.69      |
|    explained_variance   | 0.705      |
|    learning_rate        | 0.0003     |
|    loss                 | 155        |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.00319   |
|    value_loss           | 410        |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.5         |
|    ep_rew_mean          | -5.72        |
| time/                   |              |
|    fps                  | 493          |
|    iterations           | 12           |
|    time_elapsed         | 49           |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0026862302 |
|    clip_fraction        | 0.0188       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.7         |
|    explained_variance   | 0.628        |
|    learning_rate        | 0.0003       |
|    loss                 | 259          |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00326     |
|    value_loss           | 570          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43.8        |
|    ep_rew_mean          | -2.41       |
| time/                   |             |
|    fps                  | 492         |
|    iterations           | 13          |
|    time_elapsed         | 54          |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.004049359 |
|    clip_fraction        | 0.00591     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.69       |
|    explained_variance   | 0.57        |
|    learning_rate        | 0.0003      |
|    loss                 | 214         |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00513    |
|    value_loss           | 571         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.5         |
|    ep_rew_mean          | -2.87        |
| time/                   |              |
|    fps                  | 489          |
|    iterations           | 14           |
|    time_elapsed         | 58           |
|    total_timesteps      | 90112        |
| train/                  |              |
|    approx_kl            | 0.0020980574 |
|    clip_fraction        | 0.00083      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.697        |
|    learning_rate        | 0.0003       |
|    loss                 | 127          |
|    n_updates            | 430          |
|    policy_gradient_loss | -0.00355     |
|    value_loss           | 442          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39.4         |
|    ep_rew_mean          | -6.51        |
| time/                   |              |
|    fps                  | 487          |
|    iterations           | 15           |
|    time_elapsed         | 62           |
|    total_timesteps      | 92160        |
| train/                  |              |
|    approx_kl            | 0.0017053718 |
|    clip_fraction        | 0.002        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.75         |
